Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Approval Status,Origin
Blancanus,Blancanus,Moon,105.82,-63.77,-21.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624)."
Blanchard,Blanchard,Moon,37.46,-58.25,-93.50,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean-Pierre-François; French aeronaut (1753-1809).
Blanchinus,Blanchinus,Moon,59.90,-25.32,2.44,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Bianchini, Giovanni; Italian astronomer (unkn-fl. 1458)."
Blazhko,Blazhko,Moon,51.11,31.37,-147.86,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sergei Nikolaevich; Soviet astronomer (1870-1956).
Bliss,Bliss,Moon,22.85,53.04,-13.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nathaniel; English Astronomer Royal (1700-1764).
Bobillier,Bobillier,Moon,6.04,19.63,15.44,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Étienne; French geometer (1798-1840).
Bobone,Bobone,Moon,32.14,26.70,-132.12,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jorge; Argentinean astronomer (1901-1958).
Bode,Bode,Moon,17.80,6.71,-2.45,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Elert; German astronomer (1747-1826).
Boethius,Boethius,Moon,11.17,5.57,72.33,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Anicius Manlius Severinus; Roman scholar(c. A.D. 470-524).
Boguslawsky,Boguslawsky,Moon,94.59,-72.90,43.26,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Palm Heinrich Ludwig von; German astronomer (1789-1851).
Bohnenberger,Bohnenberger,Moon,31.74,-16.24,40.06,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).
Bohr,Bohr,Moon,70.07,12.71,-86.52,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Niels Henrik David; Danish physicist; Nobel laureate (1885-1962).
Bok,Bok,Moon,43.03,-20.26,-171.58,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Priscilla Fairfield; American astronomer (1896-1975), Bart Jan; Dutch-American astronomer (1906-1983)."
Boltzmann,Boltzmann,Moon,72.31,-74.82,-90.41,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ludwig Eduard; Austrian physicist (1844-1906).
Bolyai,Bolyai,Moon,102.22,-33.85,126.12,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Janos; Hungarian mathematician (1802-1860).
Bombelli,Bombelli,Moon,9.72,5.28,56.19,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Rafael; Italian mathematician (1526-1572).
Bondarenko,Bondarenko,Moon,28.26,-17.24,136.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Valentin Vasilyevich; Soviet student-cosmonaut (1937-1961).
Bonpland,Bonpland,Moon,59.25,-8.38,-17.33,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aimé-Jacques-Alexandre; French botanist (1773-1858).
Boole,Boole,Moon,61.34,63.79,-87.29,"Planetographic, +East, -180 - 180","Crater, craters",Approved,George; British mathematician (1815-1864).
Borda,Borda,Moon,45.40,-25.20,46.52,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean Charles de; French astronomer (1733-1799).
Borel,Borel,Moon,4.66,22.37,26.42,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Félix Édouard Émile; French mathematician (1871-1956).
Boris,Boris,Moon,1.73,30.53,-33.50,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Russian male name.
Borman,Borman,Moon,50.72,-39.06,-148.25,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Frank; American astronaut, engineer (1928-Live)."
Born,Born,Moon,15.07,-6.05,66.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Max; German physicist (1882-1970).
Borya,Borya,Moon,0.40,38.28,-35.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Slavic male name Boris in Russian diminutive form (Lunokhod-1 landing site feature).
Bosch,Bosch,Moon,19.58,86.82,133.54,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Carl; German chemist, Nobel Prize winner 1931 (1874-1940)."
Boscovich,Boscovich,Moon,41.53,9.71,11.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Rudjer J.; Italian physicist (1711-1787).
Bose,Bose,Moon,92.55,-53.95,-169.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Jagadis Chandra; Indian botanist, physicist (1858-1937)."
Boss,Boss,Moon,50.20,45.75,88.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Lewis; American astronomer (1846-1912).
Bouguer,Bouguer,Moon,22.23,52.32,-35.82,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Pierre; French hydrographer (1698-1758).
Boussingault,Boussingault,Moon,127.61,-70.21,53.73,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean Baptiste Dieudonne; French chemist (1802-1887).
Bowditch,Bowditch,Moon,43.04,-24.97,103.07,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Nathaniel; American astronomer, mathematician (1773-1848)."
Bowen,Bowen,Moon,8.09,17.63,9.10,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ira Sprague; American astronomer (1898-1973).
Boyle,Boyle,Moon,57.13,-53.29,177.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Robert; British natural philosopher, chemist (1627-1691)."
Brackett,Brackett,Moon,8.87,17.84,23.54,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Frederick Sumner; American physicist (1896-1988).
Bragg,Bragg,Moon,77.21,42.33,-103.44,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir William Henry; Australian physicist; Nobel laureate (1862-1942).
Brashear,Brashear,Moon,60.16,-73.54,-171.57,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John Alfred; American astronomer (1840-1920).
Braude,Braude,Moon,11.28,-81.82,158.88,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Semion Ya.; Ukranian radio astronomer (1911-2003).
Brayley,Brayley,Moon,14.17,20.90,-36.94,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Edward William; British geographer (1801-1870).
Bredikhin,Bredikhin,Moon,61.68,17.25,-158.37,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Fedor Aleksandrovich; Russian astronomer (1831-1904).
Breislak,Breislak,Moon,48.64,-48.31,18.31,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Scipione; Italian chemist, geologist, mathematician (1748-1826)."
Brenner,Brenner,Moon,90.01,-39.09,39.11,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928).
Brewster,Brewster,Moon,9.83,23.27,34.69,"Planetographic, +East, -180 - 180","Crater, craters",Approved,David; Scottish optician (1781-1868).
Brianchon,Brianchon,Moon,137.26,74.75,-88.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Charles-Julien; French mathematician (1783-1864).
Bridgman,Bridgman,Moon,81.89,43.39,136.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Percy Williams; American physicist; Nobel laureate (1882-1961).
Briggs,Briggs,Moon,36.75,26.45,-69.19,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Henry; British mathematician (1561-1630).
Brisbane,Brisbane,Moon,44.32,-49.20,68.76,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir Thomas Makdougall; Scottish astronomer (1773-1860).
Bronk,Bronk,Moon,66.16,25.90,-134.67,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Detlev Wulf; American neurophysiologist (1897-1975).
Brouwer,Brouwer,Moon,119.60,-35.82,-124.75,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Dirk; American astronomer (1902-1966); Luitzen Egbertus Jan; Dutch mathematician (1881-1966).
Brown,Brown,Moon,34.03,-46.53,-17.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Ernest William; British astronomer, mathematician (1866-1938)."
Bruce,Bruce,Moon,6.14,1.16,0.37,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Catherine Wolfe; American philanthropist, astronomy patron (1816-1900)."
Brunner,Brunner,Moon,50.66,-9.86,90.91,"Planetographic, +East, -180 - 180","Crater, craters",Approved,William Otto; Swiss astronomer (1878-1958).
Buch,Buch,Moon,51.31,-38.90,17.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Christian Leopold von; German geologist (1774-1853).
Buffon,Buffon,Moon,105.76,-40.64,-133.53,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georges Louis Leclerc; French natural historian (1707-1788).
Buisson,Buisson,Moon,61.27,-1.47,112.95,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Henri; French physicist, astronomer (1873-1944)."
Bullialdus,Bullialdus,Moon,60.72,-20.75,-22.26,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Boulliau, Ismael; French astronomer (1605-1694)."
Bunsen,Bunsen,Moon,55.22,41.40,-85.46,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Robert Wilhelm Eberhard; German chemist (1811-1899).
Burckhardt,Burckhardt,Moon,54.36,31.11,56.39,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Karl; German astronomer (1773-1825).
Bürg,Burg,Moon,41.04,45.07,28.21,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Tobias; Austrian astronomer (1766-1834).
Burnham,Burnham,Moon,24.09,-13.92,7.25,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sherburne Wesley; American astronomer (1838-1921).
Büsching,Busching,Moon,53.49,-38.04,19.96,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Anton Friedrich; German geographer (1724-1793).
Butlerov,Butlerov,Moon,38.77,12.05,-108.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksandr Mikhailovich; Russian chemist (1828-1886).
Buys-Ballot,Buys Ballot,Moon,66.38,20.86,174.82,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Christoph Hendrik Diederik; Dutch meteorologist (1817-1890).
Byrd,Byrd,Moon,97.49,85.43,10.07,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Richard Edwin; American explorer, aviator, navigator (1888-1957)."
Byrgius,Byrgius,Moon,84.46,-24.73,-65.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Burgi, Joost; Swiss horologist (1552-1632)."
Cabannes,Cabannes,Moon,81.30,-61.24,-170.21,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean; French physicist (1885-1959).
Cabeus,Cabeus,Moon,100.58,-85.33,-42.13,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Cabeo, Niccolo; Italian astronomer (1586-1650)."
Cailleux,Cailleux,Moon,52.85,-60.41,153.50,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Andre; French geologist (1907-1986).
Cai Lun,Cai Lun,Moon,44.89,80.12,113.66,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Chinese inventor (c. 57-121).
Cajal,Cajal,Moon,8.57,12.59,31.08,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Santiago Ramon Y; Spanish doctor; Nobel laureate (1852-1934).
Cajori,Cajori,Moon,74.65,-47.67,168.70,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Florian; American mathematician (1859-1930).
Calippus,Calippus,Moon,34.03,38.92,10.72,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).
Cameron,Cameron,Moon,10.91,6.19,45.93,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Robert Curry; American astronomer (1925-1972).
Campanus,Campanus,Moon,46.41,-28.04,-27.90,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Campanus of Navara; Italian astronomer (c. 1200-1296).
Campbell,Campbell,Moon,222.48,45.57,152.91,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Leon; American astronomer (1881-1951); William Wallace; American astronomer (1862-1938).
Cannizzaro,Cannizzaro,Moon,54.51,55.50,-99.73,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Stanislao; Italian chemist (1826-1910).
Cannon,Cannon,Moon,57.58,19.88,81.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Annie Jump; American astronomer (1863-1941).
Cantor,Cantor,Moon,75.72,38.04,118.69,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georg; German mathematician (1845-1918); Moritz; German mathematician (1829-1920).
Capella,Capella,Moon,48.13,-7.65,34.92,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Martianus; Roman astronomer (c. A.D. 400-unkn).
Capuanus,Capuanus,Moon,59.69,-34.09,-26.73,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).
Cardanus,Cardanus,Moon,49.57,13.27,-72.50,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Cardano, Girolamo; Italian mathematician (1501-1576)."
Carlini,Carlini,Moon,10.66,33.75,-24.12,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Francesco; Italian astronomer (1783-1862).
Carlos,Carlos,Moon,4.67,24.91,2.28,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Spanish male name.
Carmichael,Carmichael,Moon,19.73,19.53,40.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Leonard; American psychologist (1898-1973).
Carnot,Carnot,Moon,126.06,52.09,-144.20,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nicolas-Léonard Sadi; French physicist (1796-1832).
Carol,Carol,Moon,6.25,8.48,122.37,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Latin female name.
Carpenter,Carpenter,Moon,59.06,69.52,-51.23,"Planetographic, +East, -180 - 180","Crater, craters",Approved,James; British astronomer (1840-1899); Edwin Francis; American astronomer (1898-1963).
Carrel,Carrel,Moon,15.59,10.67,26.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Alexis; French doctor, physiologist; Nobel laureate (1873-1944)."
Carrillo,Carrillo,Moon,17.85,-2.11,80.96,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Flores Nabor; Mexican soil engineer (1911-1967).
Carrington,Carrington,Moon,27.77,43.97,62.04,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Richard Christopher; British astronomer (1826-1875).
Cartan,Cartan,Moon,15.62,4.24,59.29,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Elie-Joseph; French mathematician (1869-1951).
Carver,Carver,Moon,62.45,-43.46,127.60,"Planetographic, +East, -180 - 180","Crater, craters",Approved,George Washington; American botanist (1864-1943).
Casatus,Casatus,Moon,102.85,-72.70,-30.75,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Casati, Paolo; Italian mathematician (1617-1707)."
Cassegrain,Cassegrain,Moon,56.66,-51.95,113.30,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Laurent; French astronomer, doctor (1629-1693)."
Cassini,Cassini,Moon,56.88,40.25,4.64,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).
Catalán,Catalan,Moon,26.77,-45.70,-87.37,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Miguel Antonio; Spanish spectroscopist (1894-1957).
Catharina,Catharina,Moon,98.77,-17.98,23.55,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"St. Catherine of Alexandria; Greek theologian, philosopher (unkn-c. 307)."
Cauchy,Cauchy,Moon,11.80,9.56,38.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Augustin Louis; French mathematician (1789-1857).
Cavalerius,Cavalerius,Moon,59.35,5.10,-66.93,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Cavalieri, Buonaventura; Italian mathematician (1598-1647)."
Cavendish,Cavendish,Moon,52.64,-24.63,-53.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Henry; British chemist, physicist (1731-1810)."
Caventou,Caventou,Moon,2.80,29.74,-29.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Joseph-Bienaimé; French chemist, pharmacologist (1795-1877)."
Cayley,Cayley,Moon,14.20,3.94,15.09,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Arthur; British astronomer, mathematician (1821-1895)."
Celsius,Celsius,Moon,38.96,-34.10,20.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Anders; Swedish astronomer (1701-1744).
Censorinus,Censorinus,Moon,4.10,-0.42,32.69,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Roman astronomer (fl. A.D. 238).
Cepheus,Cepheus,Moon,39.43,40.68,45.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Mythological astronomer, father of Andromeda."
Chacornac,Chacornac,Moon,50.44,29.88,31.67,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean; French astronomer (1823-1873).
Chadwick,Chadwick,Moon,29.74,-52.85,-101.34,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir James; British physicist (1891-1974).
Chaffee,Chaffee,Moon,51.75,-39.06,-154.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Roger Bruce; American aeronautic engineer, astronaut (1935-1967)."
Challis,Challis,Moon,53.21,79.58,9.09,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"James; British astronomer, mathematician, physicist (1803-1882)."
Chalonge,Chalonge,Moon,25.08,-20.44,-116.35,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Daniel; French astronomer (1895-1977).
Chamberlin,Chamberlin,Moon,60.41,-58.83,96.04,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Thomas Chrowder; American geologist (1843-1928).
Champollion,Champollion,Moon,48.97,37.39,175.03,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean-François; French Egyptologist (1790-1832).
Chandler,Chandler,Moon,88.60,43.65,171.76,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Seth Carlo; American astronomer (1846-1913).
Chang Heng,Chang Heng,Moon,42.65,18.90,112.21,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Chinese astronomer (78-139).
Chang-Ngo,Chang Ngo,Moon,2.34,-12.69,-2.16,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Chinese female name.
Chant,Chant,Moon,33.60,-40.14,-109.46,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Clarence Augustus; Canadian astronomer, physicist (1865-1956)."
Chaplygin,Chaplygin,Moon,123.39,-5.76,150.24,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Sergei Alekseevich; Soviet mathematician, engineer (1869-1942)."
Chapman,Chapman,Moon,76.83,50.09,-100.47,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sydney; British geophysicist (1888-1970).
Chappe,Chappe,Moon,55.79,-61.29,-91.24,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"d'Auteroche, Jean-Baptiste; French astronomer (1728-1769)."
